Author,Year,DOI,Male,Female
"Roelands, Watson, Cordery, Decoster, Debaste, Maughan and Meeusen",2012,10.1111/j.1600-0838.2012.01502.x,10,
"Romberg, Ikonen, Ruutiainen, Virtanen and Hamalainen",2012,10.1016/j.jns.2012.05.024,5,14
"Romeijn, Verweij, Koeleman, Mooij, Steimke, Virkkala, Van Der Werf and Van Someren",2012,10.5665/sleep.2242,5,3
"Ross, Jeacocke, Laursen, Martin, Abbiss and Burke",2012,10.1186/1550-2783-9-55,12,
"Rust, Knechtle and Rosemann",2012,10.1186/2046-7648-1-8,1,
"Sandsund, Saursaunet, Wiggen, Renberg, Færevik and Beekvelt",2012,,9,
"Santos, Brito, Pinho Júnior, Valido, Mendes, Nunes and Franchini",2012,,9,
"Sargent, Darwent, Ferguson and Roach",2012,10.1016/j.aap.2011.09.030,14,
"Siegel, Maté, Watson, Nosaka and Laursen",2012,10.1080/02640414.2011.625968,8,
"Singh, Denissen, Mckune and Peters",2012,10.1097/JSM.0b013e318248e27f,5,7
"Slivka, Tucker, Cuddy, Hailes and Ruby",2012,10.1139/h11-157,9,
Smith and Havenith,2012,10.1249/MSS.0b013e318267b0c4,,13
"Sporer, Cote and Sleivert",2012,10.1123/ijspp.7.3.295,2,2
"Takizawa, Soma, Nosaka, Ishikawa and Ishii",2012,,10,
"Teunissen, De Haan, De Koning and Daanen",2012,10.1088/0967-3334/33/6/915,6,3
"Tsuji, Honda, Fujii, Kondo and Nishiyasu",2012,10.1152/japplphysiol.00335.2012,10,
"Tsuji, Honda, Fujii, Kondo and Nishiyasu",2012,10.1152/ajpregu.00048.2011,12,
"Tucker, Slivka, Cuddy, Hailes and Ruby",2012,,11,
Wan and Chung,2012,10.1111/j.1742-7924.2011.00191.x,,151
"Watanabe, Takano, Tomiyama, Matsumoto, Kobayashi, Urahigashi, Urahigashi and Abo",2012,10.2220/biomedres.33.243,33,12
"Watson, Enever, Page, Stockwell and Maughan",2012,10.1123/ijsnem.22.5.363,8,
"Watson, Shirreffs and Maughan",2012,10.1249/MSS.0b013e31822dc5ed,24,
"Wright, Mclellan, Friesen, Casa and Kenny",2012,10.1152/japplphysiol.00523.2012,7,2
"Wright, Mclellan, Stapleton, Hardcastle and Kenny",2012,10.1080/15459624.2012.666467,8,
"Abate, Di Carlo, Di Donato, Romani and Merla",2013,,40,
"Abdi Hamzehkolaei, Dabidi Roshan and Hosseinzadeh",2013,,,45
"Abedelmalek, Chtourou, Souissi and Tabka",2013,,28,
Akehi and Long,2013,,11,19
"Amano, Koga, Inoue, Nishiyasu and Kondo",2013,10.1007/s00421-013-2641-8,56,
"Ayres, White, Hedger and Scurr",2013,10.1080/00140139.2013.789554,,8
"Bardis, Kavouras, Arnaoutis, Panagiotakos and Sidossis",2013,10.4085/1062-6050-48.5.01,10,
"Barroso, Silva-Batista, Tricoli, Roschel and Ugrinowitsch",2013,10.1519/JSC.0b013e3182606cd9,16,
"Barwood, Corbett, Feeney, Hannaford, Henderson, Jones and Kirke",2013,10.1123/ijspp.8.5.527,8,
"Bijlenga, Van Someren, Gruber, Bron, Kruithof, Spanbroek and Kooij",2013,10.1111/jsr.12075,6,6
"Binder, Gagnon, Lynn, Kondo and Kenny",2013,,10,
"Birkemose, Moller, Madsen, Brantlov, Sorensen, Overgaard and Johansen",2013,10.1109/embc.2013.6610178,6,8
"Bizzini, Impellizzeri, Dvorak, Bortolan, Schena, Modena and Junge",2013,10.1080/02640414.2013.802922,20,
"Blacker, Carter, Wilkinson, Richmond, Rayson and Peattie",2013,10.1080/00140139.2012.734335,6,
"Bonfiglioli, Mussoni, Graziosi, Calabrese, Farioli, Marinelli and Violante",2013,10.1016/j.jelekin.2012.09.001,13,15
"Brade, Dawson and Wallman",2013,,10,
"Brearley, Heaney and Norton",2013,10.1017/s1049023x12001847,4,6
"Bruning, Dahmus, Kenney and Alexander",2013,10.1249/MSS.0b013e31827981dc,7,7
"Bryan, Magnan, Hooper, Ciccolo, Marcus and Hutchison",2013,10.1186/1479-5868-10-139,43,175
"Buller, Tharion, Cheuvront, Montain, Kenefick, Castellani, Latzka, Roberts, Richter, Jenkins and Hoyt",2013,10.1088/0967-3334/34/7/781,15,
"Burdon, Hoon, Johnson, Chapman and O'connor",2013,10.1123/ijsnem.23.5.458,10,
"Burtscher, Gatterer, Philippe, Krusmann, Kernbeiss, Frontull and Kofler",2013,,7,
Carrasco,2013,,10,
"Ce, Rampichini, Agnello, Limonta, Veicsteinas and Esposito",2013,10.1002/mus.23627,15,
"Chtourou, Aloui, Hammouda, Chaouachi, Chamari and Souissi",2013,,10,
"Chtourou, Aloui, Hammouda, Chaouachi, Chamari and Souissi",2013,10.1371/journal.pone.0070534,20,
Cicioglu and Kiyici,2013,,24,
Cook and Beaven,2013,10.1136/bjsports-2012-091647,12,
"Crampton, Donne, Warmington and Egana",2013,10.1007/s00421-013-2737-1,9,
"Cruz, Melo, Manoel, Castro and Da Silva",2013,,8,
"Cuddy, Buller, Hailes and Ruby",2013,10.7205/milmed-d-12-00524,1,
"Cuesta-Vargas, Trave-Mesa, Vera-Cabrera, Cruz-Terron, Castro-Sanchez, Fernandez-De-Las-Penas and Arroyo-Morales",2013,10.1186/1472-6882-13-180,17,17
"Davey, Barwood and Tipton",2013,,3,3
"Davey, Eglin, House and Tipton",2013,10.1007/s00421-013-2678-8,10,
"Del Coso, Fernandez De Velasco, Abian-Vicen, Salinero, Gonzalez-Millan, Areces, Ruiz, Gallo, Calleja-Gonzalez and Perez-Gonzalez",2013,10.1371/journal.pone.0057602,34,6
"Demachi, Yoshida, Kume, Tsuji and Tsuneoka",2013,10.1007/s00484-012-0586-y,7,
"Dion, Savoie, Asselin, Gariepy and Goulet",2013,10.1007/s00421-013-2730-8,10,
"Duffield, Coutts, Mccall and Burgess",2013,,10,
"Dunne, Crampton and Egana",2013,10.1016/j.jsams.2012.11.884,9,
"Edwards, Pullinger, Kerry, Robinson, Reilly, Robertson and Waterhouse",2013,10.3109/07420528.2012.741174,10,
"Eglin, Golden and Tipton",2013,10.1186/2046-7648-2-16,21,2
"Ely, Sollanek, Cheuvront, Lieberman and Kenefick",2013,,32,
"Faulkner, Ferguson, Gerrett, Hupperets, Hodder and Havenith",2013,10.1249/MSS.0b013e31826fba7f,11,
"Faulkner, Ferguson, Hodder and Havenith",2013,,10,
Fletcher,2013,10.1519/JSC.0b013e3182517ffb,20,
"Fontecave-Jallon, Baconnier, Tanguy, Eymaron, Rongier and Gumery",2013,10.1007/s10441-013-9192-6,5,3
"Formenti, Ludwig, Gargano, Gondola, Dellerma, Caumo and Alberti",2013,10.1007/s10439-012-0718-x,,14
"Gagnon, Rintamaki, Gagnon, Cheung, Herzig, Porvari and Kyrolainen",2013,10.3389/fphys.2013.00099,9,
Games and Sefton,2013,10.1111/j.1600-0838.2011.01419.x,5,9
"Girard, Bishop and Racinais",2013,,12,
"Goss, Robertson, Gallagher Jr, Haile, Morley, Suyama and Hostler",2013,,16,5
"Gregson, Allan, Holden, Phibbs, Doran, Campbell, Waldron, Joo and Morton",2013,10.1249/MSS.0b013e3182814462,9,
"Hammouda, Chtourou, Aloui, Chahed, Kallel, Miled, Chamari, Chaouachi and Souissi",2013,10.1371/journal.pone.0079873,15,
"Hammouda, Chtourou, Chaouachi, Chahed, Bellimem, Chamari and Souissi",2013,10.1080/02640414.2012.757345,15,
"Hillman, Turner, Peart, Bray, Taylor, Mcnaughton and Siegler",2013,,7,
"Hodge, Jones, Martinez and Buono",2013,10.1016/j.autneu.2013.02.017,5,3
"Horn, Blevins, Fernhall and Smith",2013,10.1080/00140139.2013.818719,6,3
"Hue, Monjo, Lazzaro, Baillot, Hellard, Marlin and Jean-Etienne",2013,10.1123/ijspp.8.4.442,5,4
"Ihsan, Watson, Lipski and Abbiss",2013,10.1249/MSS.0b013e31827e13a2,9,
"Ito, Nakano, Yamane, Amano and Matsumoto",2013,10.1055/s-0032-1331770,7,
"Jensen, Scott, Krustrup and Mohr",2013,10.1080/02640414.2013.803591,15,
"Kakitsuba, Mekjavic and Katsuura",2013,10.1186/1880-6805-32-6,15,
"Kenny, Stapleton, Yardley, Boulay and Sigal",2013,10.1249/MSS.0b013e3182940836,6,4
"Keramidas, Geladas, Mekjavic and Kounalakis",2013,10.1111/cpf.12043,12,
"Kilduff, West, Williams and Cook",2013,10.1016/j.jsams.2012.11.889,20,
"Kim, Seo, Kim and Lee",2013,10.1016/j.wem.2013.06.007,12,9
"Lakin, Notarius, Thomas and Goodman",2013,10.1042/cs20120508,11,10
"Lee, Brown, Lange and Brothers",2013,10.1519/JSC.0b013e318291b29f,8,2
"Lee, Petrofsky, Daher, Berk, Laymon and Khowailed",2013,10.12659/msm.889393,10,
"Lee, Yeo, Nio, Koh, Teo, Goh, Tan and Byrne",2013,10.1055/s-0033-1337906,8,
"Levels, Teunissen L, De Haan, De Koning, Van Os and Daanen H",2013,,10,
"Limbaugh, Wimer, Long and Baird",2013,10.3357/asem.3627.2013,9,
"Liu, Zhu, Wang, Ye and Li",2013,10.1080/15459624.2012.747404,6,
"Logan-Sprenger, Heigenhauser, Jones and Spriet",2013,10.1123/ijsnem.23.3.220,9,
"Martinez-Nicolas, Ortiz-Tudela, Rol and Madrid",2013,10.1371/journal.pone.0061142,48,55
"Mawhinney, Jones, Chang Hwa, Low, Green and Gregson",2013,,12,
"Mcdermott, Casa, Lee, Yamamoto, Beasley, Emmanuel, Anderson, Pescatello, Armstrong and Maresh",2013,10.4085/1062-6050-48.6.01,12,
"Molloy, Smith and Pascoe",2013,,16,
"Moore, Harper Smith, Felice and Walsh",2013,,10,
"Nybo, Girard, Mohr, Knez, Voss and Racinais",2013,10.1249/MSS.0b013e31827ded04,17,
O'reilly and Wong,2013,,7,
"Otterstetter, Johnson, Kiger, Agnor, Edwards, Naylor and Krone",2013,10.1038/ejcn.2013.133,17,23
"Parker, Erin, Pryor, Khorana, Suyama, Guyette, Reis and Hostler",2013,10.1016/j.wem.2013.01.010,24,16
Paulson and Shay,2013,10.1136/acupmed-2012-010223,17,19
"Périard, Thompson, Caillaud and Quaresima",2013,,10,
"Quindry, Miller, Mcginnis, Kliszczewiscz, Slivka, Dumke, Cuddy and Ruby",2013,10.1123/ijsnem.23.2.128,12,
Racinais,2013,10.1186/2193-1801-2-317,15,10
Racinais and Cresswell,2013,10.1002/phy2.19,7,7
"Raines, Snow, Petersen, Harvey, Nichols and Aisbett",2013,10.1016/j.apergo.2012.10.002,32,2
"Ramos-Jimenez, Hernandez-Torres, Wall-Medrano, Torres-Duran, Juarez-Oropeza and Solis Ceballos",2013,10.3305/nh.2013.28.5.6698,14,
"Reinberg, Riedel, Brousse, Floc'h, Clarisse, Mauvieux, Touitou, Smolensky, Marlot, Berrez and Mechkouri",2013,10.3109/07420528.2013.800087,30,
"Riera, Pons, Martinez-Puig, Chetrit, Tur, Pons and Drobnic",2013,10.1186/1550-2783-10-20,12,
"Robey, Dawson, Halson, Goodman, Gregson and Eastwood",2013,10.1007/s00421-012-2436-3,10,
"Robey, Dawson, Halson, Gregsol, King, Goodman and Eastwood",2013,,11,
"Robinson, Pullinger, Kerry, Giacomoni, Robertson, Burniston, Waterhouse and Edwards",2013,10.3109/07420528.2013.793197,10,
"Schwarz, Spillane, La Bounty, Grandjean, Leutholtz and Willoughby",2013,10.1016/j.nutres.2013.08.007,11,
Simic and Ravlic,2013,10.2478/10004-1254-64-2013-2167,,24
"Smith, Fehling, Hultquist, Arena, Lefferts, Haller, Storer and Cooper",2013,10.1139/apnm-2012-0489,10,
"Smith, Haller, Hultquist, Lefferts and Fehling",2013,10.1080/15459624.2013.769841,10,
"Sperlich, Born, Lefter and Holmberg",2013,10.1016/j.wem.2013.04.005,8,
"Stapleton, Yardley, Boulay, Sigal and Kenny",2013,10.1249/MSS.0b013e31829002f3,7,5
"Stearns, Belval, Casa, Klau, Emmanuel, Armstrong and Maresh",2013,10.3357/asem.3154.2013,10,
Taylor and Smith,2013,10.1016/j.physbeh.2013.05.031,8,
"Tenan, Peng, Hackney and Griffin",2013,10.1249/MSS.0b013e318299a69d,11,7
"Teunissen, Haan, Koning and Daanen",2013,,10,
"Vrijdag, Van Ooij and Van Hulst",2013,10.1186/2046-7648-2-17,7,
"Wang, Gao, Kuklane and Holmer",2013,10.2486/indhealth.2012-0073,8,
"Wasse, King, Stensel and Sunderland",2013,10.1139/apnm-2013-0008,21,
"Welles, Buller, Margolis, Economos, Hoyt and Richter",2013,10.7205/milmed-d-12-00538,10,
"West, Dietzig, Bracken, Cunningham, Crewther, Cook and Kilduff",2013,10.1016/j.jsams.2012.06.002,4,4
"Wiggen, Waagaard, Heidelberg and Oksa",2013,10.1519/JSC.0b013e3182915e7d,14,
"Yu, Bilberg, Dalgas and Stenager",2013,10.3109/17483107.2012.680941,1,8
"Zhao, Lorenzo, An, Feng, Lai and Cui",2013,,9,
"Bromundt, Wirz-Justice, Kyburz, Opwis, Dammann and Cajochen",2013,10.1521/pedi_2012_26_057,,10
"Ganio, Gagnon, Stapleton, Crandall and Kenny",2013,10.1097/BCR.0b013e31826c32c0,,1
"Jan, Liao, Rice and Woods",2013,10.1016/j.apmr.2013.03.022,10,10
"Squarcini, Pires, Lopes, Benedito-Silva, Esteves, Cornelissen-Guillaume, Matarazzo, Garcia, Silva, Tufik and Mello",2013,,6,4
"Adams, Mcdermott, Ridings, Mainer, Ganio and Kavouras",2014,10.1093/annhyg/meu044,16,
Ahn and Kim,2014,10.5604/20831862.1097482,16,
"Altrichter, Salow, Ardelean, Church, Werner and Maurer",2014,10.1016/j.jdermsci.2014.04.007,5,5
"Aughey, Goodman and Mckenna",2014,10.1016/j.jsams.2013.02.013,35,
"Baillot, Le Bris and Hue",2014,10.1055/s-0033-1349108,20,
"Barwood, Corbett and White",2014,,6,
"Belkhiria-Turki, Chaouachi, Turki, Hammami, Chtara, Amri, Drinkwater and Behm",2014,,15,13
"Best, Thompson, Caillaud, Holvik, Fatseas and Tammam",2014,10.1016/j.jsams.2013.10.243,14,
"Bongers, Eijsvogels, Nyakayiru, Veltmeijer, Thijssen and Hopman",2014,10.1007/s11357-014-9725-1,49,30
Borisov and Lin,2014,10.1016/j.exger.2014.06.005,15,8
Bottoms and Price,2014,10.1007/s00421-014-2842-9,13,
"Brade, Dawson and Wallman",2014,10.1080/17461391.2011.651491,12,
"Brazaitis, Eimantas, Daniuseviciute, Mickeviciene, Steponaviciute and Skurvydas",2014,10.1371/journal.pone.0109020,40,
"Broatch, Petersen and Bishop",2014,10.1249/mss.0000000000000348,30,
"Buono, Holloway, Levine, Rasmussen and Kolkhorst",2014,,2,5
"Burdon, Easthope, Johnson, Chapman and O'connor",2014,10.1139/apnm-2013-0394,5,3
"Carlson, Ferguson and Kenefick",2014,10.1016/j.jtherbio.2014.06.001,8,
"Chaâri, Frikha, Mezghanni, Masmoudi and Souissi",2014,,11,
"Cheng, Shih, Tsai and Chi",2014,10.1080/00140139.2014.934298,10,
"Cleary, Toy and Lopez",2014,10.1519/JSC.0b013e3182a20f57,10,
"Correa, Molina and Sanabria",2014,10.1016/j.aap.2014.02.020,,25
"Costa, Crockford, Moore and Walsh",2014,10.1080/17461391.2012.660506,6,
"Crabtree, Chambers, Hardwick and Blannin",2014,10.3945/ajcn.113.071381,15,
Cramer and Jay,2014,10.1152/japplphysiol.01312.2013,28,
"Crampton, Egana, Donne and Warmington",2014,10.1111/sms.12169,8,
"Cruz, Manoel, Melo, Castro, De Freitas, Santos, Perrout, De Lima, Bouzas Marins and Da Silva",2014,,8,
"Cuddy, Hailes and Ruby",2014,10.1016/j.jtherbio.2014.04.002,49,11
"Davis, Etheredge, Marcus and Bellar",2014,10.1155/2014/781863,9,3
"Davis, Thigpen, Hornsby, Green, Coates and O'neal",2014,10.1080/17461391.2014.894578,11,2
"De Sousa, Cheatham and Wittbrodt",2014,10.1016/j.apergo.2014.04.006,10,
"Del Coso, Gonzalez, Abian-Vicen, Salinero Martin, Soriano, Areces, Ruiz, Gallo, Lara and Calleja-Gonzalez",2014,10.1080/02640414.2014.915425,30,4
"Diaw, Samb, Diop, Sall, Ba, Cisse and Connes",2014,10.1136/bjsports-2012-091038,11,
"Drygas, Rebowska, Stepien, Golanski and Kwasniewska",2014,,1,
"Eijsvogels, Bongers, Veltmeijer, Moen and Hopman",2014,10.1055/s-0034-1368723,10,
"Fernandes, Amorim, Brito, De Moura, Moreira, Costa, Sillero-Quintana and Marins",2014,10.1088/0967-3334/35/2/189,12,
"Filingeri, Redortier, Hodder and Havenith",2014,10.1016/j.neuroscience.2013.11.019,,8
"Flouris, Poirier, Bravi, Wright-Beatty, Herry, Seely and Kenny",2014,,10,
"Flouris, Wright-Beatty, Friesen, Casa and Kenny",2014,,7,2
"Foster, Koehle, Dominelli, Mwangi, Onywera, Boit, Tremblay, Boit and Sheel",2014,10.1249/mss.0000000000000161,10,4
"Friesen, Carter, Poirier and Kenny",2014,10.1249/mss.0000000000000292,20,
"Fujii, Honda, Komura, Tsuji, Sugihara, Watanabe, Kondo and Nishiyasu",2014,10.1152/japplphysiol.00334.2014,10,
"Gagnon, Gagnon, Rintamaki, Tormakangas, Puukka, Herzig and Kyrolainen",2014,10.1371/journal.pone.0110774,12,12
"Garrett, Goosens, Rehrer, Patterson, Harrison, Sammut and Cotter",2014,10.1002/ajhb.22509,9,
"Gatterer, Schenk, Laninschegg, Schlemmer, Lukaski and Burtscher",2014,10.1371/journal.pone.0109729,14,
"Gava Pompermayer, Rodrigues, Manfredini Baroni, De Oliveira Lupion, Meyer and Aurélio Vaz",2014,,10,
"Gibson, Dennis, Parfitt, Taylor, Watt and Maxwell",2014,10.1007/s12192-013-0468-1,10,
Girard and Racinais,2014,10.1007/s00421-014-2883-0,11,
"Girard, Racinais and Periard",2014,10.1136/bjsports-2013-093286,12,
"Golbabaei, Zakerian, Fouladi Dehaghi, Ibrahimi Ghavamabadi, Gharagozlou, Mirzaei Aliabadi and Hematjo",2014,,32,
"Gonzales, Hagin, Guillot, Placet, Monnier-Benoit and Groslambert",2014,,10,
"Greaney, Stanhewicz, Kenney and Alexander",2014,10.1152/japplphysiol.00516.2014,13,10
"Green, Parro and Gabriel",2014,,13,
"Hayashi, Ito, Ichikawa and Suzuki",2014,10.1139/apnm-2013-0506,10,
"Hew-Butler, Hummel, Rider and Verbalis",2014,10.1152/ajpregu.00120.2014,8,2
"Hosler, Hosler, Tobin, Strop, Schroeder and Beckwith",2014,,1,
"Hue, Le Jeannic and Chamari",2014,,8,
"Hunt, Boyle and Wells",2014,10.3233/wor-131754,10,
"Ihsan, Watson, Hui Cheng, Lewandowski, Papazzo, Cameron-Smith and Abbiss",2014,,9,
"Iwase, Kawahara, Nishimura, Nishimura, Sugenoya, Miwa and Takada",2014,10.1007/s00484-013-0704-5,6,
"James, Richardson, Watt and Maxwell",2014,10.1016/j.jtherbio.2014.08.010,14,
"Jarraya, Jarraya, Chtourou and Souissi",2014,,12,
"Jarraya, Jarraya, Chtourou and Souissi",2014,,12,
"Jovanovic, Karkalic, Zeba, Pavlovic and Radakovic",2014,10.2298/vsp120731045j,10,
"Juliff, Halson, Bonetti, Versey, Driller and Peiffer",2014,10.1519/jsc.0000000000000417,,10
"Kenefick, Sollanek, Charkoudian and Sawka",2014,10.1152/japplphysiol.00415.2014,32,
"Ketko, Eliyahu, Epstein and Heled",2014,10.4161/temp.29752,104,
"Kim, Powell, Roberge, Shepherd and Coca",2014,10.1080/15459624.2013.858820,10,
Knez and Periard,2014,10.1136/bjsports-2013-093248,31,
"Knez, Girard, Racinais, Walsh, Gaoua and Grantham",2014,10.2486/indhealth.2012-0032,10,
"Krauchi, Konieczka, Roescheisen-Weich, Gompper, Hauenstein, Schoetzau, Fraenkl and Flammer",2014,10.3109/07420528.2013.829482,,19
"Larose, Boulay, Wright-Beatty, Sigal, Hardcastle and Kenny",2014,10.1152/japplphysiol.00123.2014,60,
"Larsen, Netto and Aisbett",2014,10.7205/milmed-d-13-00318,11,
"Lee, Ang, Ng, Fan, Teo, Nolte and Yeo",2014,10.1186/s12970-014-0051-x,,10
"Lee, Kim, Jang, Baek and Park",2014,10.1080/00140139.2014.907449,8,
"Lee, Kim, Min and Yang",2014,10.1371/journal.pone.0093976,35,
"Lee, Petrofsky, Daher, Berk and Laymon",2014,,,19
"Lee, Yamamoto, Oe, Son, Wakabayashi and Tochihara",2014,10.1080/00140139.2014.914578,8,
"Levels, De Koning, Broekhuijzen, Zwaan, Foster and Daanen",2014,10.1080/02640414.2013.862843,19,
"Levels, De Koning, Mol, Foster and Daanen",2014,10.1016/j.apergo.2014.04.011,12,
"Linseman, Palmer, Sprenger and Spriet",2014,10.1139/apnm-2014-0091,14,
"Lisman, Kazman, O'connor, Heled and Deuster",2014,10.7205/milmed-d-14-00169,34,12
"Ljubicic, Varnai, Petrinec and Macan",2014,10.1016/j.apergo.2013.07.011,66,
"Macrae, Laing, Wilson and Niven",2014,10.1080/00140139.2013.869356,10,
"Mauger, Taylor, Harding, Wright, Foster and Castle",2014,10.1113/expphysiol.2013.075275,11,
"Mcgarr, Hartley and Cheung",2014,10.1080/15459624.2013.816429,11,5
"Mcnamara, Keen, Simmons, Alexander and Wong",2014,10.1113/jphysiol.2014.272898,8,
"Mieras, Heesch and Slivka",2014,10.1519/jsc.0000000000000384,12,
"Minett, Duffield, Billaut, Cannon, Portus and Marino",2014,10.1111/sms.12060,9,
"Mitchell, Rogers, Basset and Hubing",2014,10.1519/jsc.0000000000000319,11,
"Morris, Bain, Cramer and Jay",2014,10.1152/japplphysiol.01059.2013,12,
"Morrison, Cheung and Cotter",2014,10.4085/1062-6050-49.3.27,10,
"Moyen, Ellis, Ciccone, Thurston, Cochrane, Brown, Coburn and Judelson",2014,10.3357/asem.3787.2014,13,
"Moyen, Mundel, Du Bois, Ciccone, Morton and Judelson",2014,10.3357/asem.3993.2014,,10
"Muller, Seo, Kim, Ryan, Pollock, Burns and Glickman",2014,10.1007/s00484-013-0633-3,14,
"Ogino, Kakeda, Nakamura and Saito",2014,10.1213/ANE.0b013e3182a9b028,5,
"Oksa, Hosio, Makinen, Lindholm, Rintamaki, Rissanen, Latvala, Vaara and Oksa",2014,10.1080/00140139.2014.895854,14,
"Oopik, Timpmann, Kreegipuu, Unt and Tamm",2014,10.1016/j.ghir.2013.10.001,20,
"Op 'T Eijnde, Keytsman, Wens and Hansen",2014,10.3233/nre-141159,5,7
Parrott and Young,2014,10.4161/23328940.2014.977182,38,30
Pate and Buono,2014,,5,19
"Patterson, Stocks and Taylor",2014,10.1111/apha.12214,8,
"Pearson, Lucas, Schlader, Zhao, Gagnon and Crandall",2014,10.1152/ajpregu.00199.2014,6,2
"Peikert, Miller, Albrecht, Tucker and Deal",2014,10.4085/1062-6050-49.2.11,9,
"Periard, Girard and Racinais",2014,10.1136/bjsports-2013-093160,9,1
"Periard, Racinais and Thompson",2014,10.1002/mus.24228,10,
"Periard, Racinais, Knez, Herrera, Christian and Girard",2014,10.1136/bjsports-2013-093063,12,
"Periard, Racinais, Knez, Herrera, Christian and Girard",2014,10.1136/bjsports-2013-093242,10,
"Petit, Mougin, Bourdin, Tio and Haffen",2014,10.1007/s00421-013-2776-7,16,
"Petit, Mougin, Bourdin, Tio and Haffen",2014,10.1139/apnm-2013-0531,16,
"Pilch, Szygula, Tyka, Palka, Tyka, Cison, Pilch and Teleglow",2014,10.1371/journal.pone.0085320,20,
"Pitchford, Fell, Leveritt, Desbrow and Shing",2014,10.1016/j.jsams.2013.07.004,9,
"Pullinger, Brocklehurst, Iveson, Burniston, Doran, Waterhouse and Edwards",2014,10.3109/07420528.2013.865643,20,
"Racinais, Buchheit, Bilsborough, Bourdon, Cordy and Coutts",2014,10.1123/ijspp.2013-0284,18,
"Ramos-Jimenez, Hernandez-Torres, Wall-Medrano, Torres-Duran, Juarez-Oropeza, Viloria and Villalobos-Molina",2014,10.3305/nh.2014.29.3.7017,12,9
"Ravanelli, Cramer, Molgat-Seon, Carlsen and Jay",2014,,8,
Raymond and Barringer,2014,10.1080/10803548.2014.11077040,74,19
"Riera, Trong, Sinnapah and Hue",2014,10.1371/journal.pone.0103718,20,
"Roberts, Nosaka, Coombes and Peake",2014,10.1152/ajpregu.00180.2014,10,
"Ross, Stephens, Abbiss, Martin, Laursen and Burke",2014,10.1123/ijspp.2012-0369,10,
"Ruddock, Tew and Purvis",2014,10.1519/JSC.0b013e3182aa5dd0,12,
"Ryan, Bishop, Herron, Katica, Elbon, Bosak and Bishop",2014,10.1080/15459624.2013.843782,9,
"Savage, Lord, Larsen, Knight, Langridge and Aisbett",2014,10.1016/j.jtherbio.2014.10.003,46,2
"Selfe, Alexander, Costello, May, Garratt, Atkins, Dillon, Hurst, Davison, Przybyla, Coley, Bitcon, Littler and Richards",2014,10.1371/journal.pone.0086420,14,
"Seo, Peacock, Gunstad, Burns, Pollock and Glickman",2014,10.1186/1550-2783-11-24,10,
"Shimose, Ushigome, Tadano, Sugawara, Yona, Matsunaga and Muro",2014,10.1016/j.jelekin.2014.08.002,15,
"Shing, Peake, Lim, Briskey, Walsh, Fortes, Ahuja and Vitetta",2014,,10,
"Siewierski, Adamczyk and Boguszewski",2014,,16,
"Smith, Arena, Deblois, Haller, Hultquist, Lefferts, Russell, Wu and Fehling",2014,10.1016/j.apergo.2013.06.001,10,
"Smoljanic, Morris, Dervis and Jay",2014,10.1152/japplphysiol.00665.2014,28,
"Solianik, Skurvydas, Mickeviciene and Brazaitis",2014,10.1016/j.cryobiol.2014.08.007,18,14
"Solonin, Markov, Bojko, Potolitsyna and Parshukova",2014,,17,
"Son, Hwang, Lee and Bae",2014,10.5717/jenb.2014.18.2.215,9,
"Stewart, Stewart, Worringham and Costello",2014,10.1371/journal.pone.0083740,8,
"Stewart, Whyte, Cannon, Wickham and Marino",2014,10.1055/s-0033-1364022,7,
"Suzuki, Ohya, Ito, Matsumoto and Kitagawa",2014,10.1055/s-0033-1353146,7,
"Tamm, Jakobson, Havik, Burk, Timpmann, Allik, Oopik and Kreegipuu",2014,10.1080/17470218.2013.804849,24,
"Taylor, Fitch, Castle, Watkins, Aldous, Sculthorpe, Midgely, Brewer and Mauger",2014,10.3389/fphys.2014.00185,13,
"Taylor, Mauger, Watkins, Fitch, Brewer, Maxwell, Webborn and Castle",2014,10.1519/jsc.0000000000000558,,8
"Teunissen, Wang, Chou, Huang, Jou and Daanen",2014,10.1016/j.apergo.2014.04.008,9,
"Todd, Gordon, Groeller and Taylor",2014,10.1111/apha.12327,8,
"Tokizawa, Sawada, Oka, Yasuda, Tai, Ida and Nakayama",2014,10.1007/s00484-014-0794-8,6,
"Trangmar, Chiesa, Stock, Kalsi, Secher and Gonzalez-Alonso",2014,10.1113/jphysiol.2014.272104,10,
"Tsuji, Kume, Tuneoka and Yoshida",2014,10.1007/s00484-013-0722-3,8,
"Tumilty, Davison, Beckmann and Thatcher",2014,10.1249/mss.0000000000000243,8,
"Venckunas, Trinkunas, Kamandulis, Poderys, Grunovas and Brazaitis",2014,10.1155/2014/353040,,13
"Wakabayashi, Wijayanto, Lee, Hashiguchi, Saat and Tochihara",2014,10.1186/1880-6805-33-5,20,
"Walker, Driller, Brearley, Argus and Rattray",2014,10.1139/apnm-2014-0038,74,
"Watanabe, Oya, Iwata and Someya",2014,10.1589/jpts.26.1345,24,
"Watson, Nichols and Cordery",2014,10.1139/apnm-2013-0413,10,
"Williams, Wickes, Gilmour, Barker and Scott",2014,,1,
"Wright, Larose, Mclellan, Hardcastle, Boulay and Kenny",2014,10.1080/15459624.2013.817676,42,
"Wright-Beatty, Hardcastle, Boulay, Larose and Kenny",2014,,20,
"Wright-Beatty, Mclellan, Larose, Sigal, Boulay and Kenny",2014,,36,
